both have a developing renewable <MASK> industry.	energy
the amfibus is capable of  on land and  on <MASK>.	water
some have a nearby <MASK> supply.	water
pita <MASK> is a staple.	bread
to have a temporary <MASK>.	job
goalkeepers have a very physically demanding <MASK>.	job
piłsudski is a polish <MASK> of arms.	coat
cieleski is a polish <MASK> of arms.	coat
some towns have a <MASK> of arms.	coat
kopaszyna is a polish <MASK> of arms.	coat
sandrecki is a polish <MASK> of arms.	coat
warnia is a polish <MASK> of arms.	coat
amadej is a polish <MASK> of arms.	coat
nabram is a polish <MASK> of arms.	coat
their roots in particular have a long use in traditional <MASK>.	medicine
the <MASK> is a diptych.	painting
the center contains a general store and plans to have a <MASK>.	restaurant
the place will also have a bar and a <MASK>.	restaurant
turkeys have a seat at the <MASK>.	table
kretschmer did not have a <MASK> record.	criminal
huerta did not have a <MASK> record.	criminal
all divisions have a <MASK> investigations branch.	criminal
most states have a <MASK> justice reform act as well.	criminal
that is not a <MASK> offence.	criminal
its <MASK> seal is a shield.	official
2 percent have a knowledge of both <MASK> languages.	official
jared weinstein  is a former government <MASK>.	official
all other stations only have a small <MASK> on the platform.	shelter
there is a cyclone <MASK> on nukutavake.	shelter
sound is  a longitudinal <MASK>.	wave
the team appeared to have a <MASK> base.	solid
the forewings have a dark brown <MASK> color.	ground
adults have a black <MASK> colour.	ground
adults have a variable <MASK> colour.	ground
the forewings have a greyish <MASK> colour.	ground
adults have a pale brown <MASK> colour.	ground
adults have a white <MASK> colour.	ground
the wings have a light grey <MASK> colour.	ground
fry bake is a caribbean <MASK>.	dish
the area does not have a predictable dry <MASK>.	season
many tropical areas have a dry and wet <MASK>.	season
adults have a small crest in the breeding <MASK>.	season
allen is not a main character for <MASK> two.	season
then p is a justified true <MASK>.	belief
sikhism may have a <MASK> in the afterlife.	belief
the <MASK> is capable of .	engine
its diesel <MASK> is capable of putting out .	engine
is a manga <MASK>.	artist
stitch is a frankenstein <MASK>.	monster
bigfoot is a <MASK> truck.	monster
have a trusted guide on your <MASK>.	side
diarrhea is not a <MASK> effect.	side
47 of the 50 states have a <MASK> of state.	secretary
pius xii did not have a personal <MASK>.	secretary
the <MASK> hunter is a parable .	deer
ivory <MASK> is a multiparty state.	coast
fruit is a red <MASK>.	berry
the fruit is a bluish <MASK>.	berry
<MASK> dispersal is a common feature.	seed
dissent is not a <MASK>.	crime
wyoming does not have a hate <MASK> law.	crime
fgm is not a <MASK> in russia.	crime
voyeurism is not a <MASK> at common law.	crime
cannibalism is not a <MASK> under japanese law.	crime
bad story writing is not a <MASK>.	crime
wyoming does not have a hate <MASK> law.	crime
venus is known not to have a magnetic <MASK>.	field
american ingenuity will have a <MASK> day.	field
skater any <MASK> who is not a goaltender.	player
the second <MASK> therefore cannot have a winning strategy.	player
is a japanese badminton <MASK>.	player
the <MASK> can have a maximum amount of ten lives.	player
the <MASK> farm is capable of producing 46.	wind
the <MASK> does not have a true guitar solo.	song
the <MASK> did not have a music video.	song
only the last <MASK> is not a punk cover.	song
the <MASK> does not have a true guitar solo.	song
winters have a more uniform <MASK> distribution.	temperature
is a carbonated japanese soft <MASK>.	drink
mares is a manufacturer of scuba <MASK>.	equipment
individuals have a forearm <MASK> of .	length
its tail is a medium <MASK>.	length
areca <MASK> is not a native crop of india.	nut
alcohol detox is not a <MASK> for alcoholism.	treatment
exposure therapy is a possible <MASK>.	treatment
the yacht carried enough <MASK> to have a range of .	fuel
hydrogen is a carbon neutral <MASK>.	fuel
electric and <MASK> cell vehicles have a 2.	fuel
blammo is a known demolition <MASK>.	expert
salwa mansour is a communication <MASK>.	expert
the orchestra did not have a chief <MASK> at the time of its founding.	conductor
molten  is a weak electrical <MASK>.	conductor
princess alexandra is a volunteer in <MASK> refugees.	helping
the gorilla is a species of great <MASK>.	ape
others have a far broader primary <MASK> function.	care
nanako is capable of taking <MASK> of herself.	care
his <MASK> is a painter.	mother
cain is a jesuit <MASK>.	priest
dastur is a zoroastrian high <MASK>.	priest
the <MASK> does not have a permit to fly.	aircraft
the <MASK> does not have a permit to fly.	aircraft
concorde is a supersonic <MASK>.	aircraft
the proposed <MASK> was to have a pressurized cockpit.	aircraft
each <MASK> would have a pilot and observer.	aircraft
the airport is capable of accepting any type of <MASK>.	aircraft
the airport is capable of operating atr <MASK>.	aircraft
is a japanese equestrian <MASK>.	rider
is a japanese olympic eventing <MASK>.	rider
james is a keen motorcycle <MASK>.	rider
kurt hansen is a speedway <MASK>.	rider
is a japanese olympic dressage <MASK>.	rider
there is a picket <MASK>.	fence
there is a picket <MASK> to the street.	fence
the school <MASK> does not yet have a high school.	district
there is not a <MASK> limit.	time
to have a good <MASK>!	time
most levels have a <MASK> limit.	time
have a good <MASK>.	time
constitution day is not a public <MASK>.	holiday
thanksgiving is not a statutory <MASK>.	holiday
both nations have a working <MASK> visa agreement.	holiday
the day is not a public <MASK>.	holiday
south australia does not have a boxing day <MASK>.	holiday
south australia does not have a boxing day <MASK>.	holiday
boxing day is not a statutory <MASK>.	holiday
castile did have a license to carry a <MASK>.	gun
the main symptom is a runny <MASK>.	nose
the five hybrids all have a latent <MASK> of fire.	fear
aswangs also generally have a <MASK> of light.	fear
apprehension is a broader term than <MASK>.	fear
tokophobia is a significant <MASK> of childbirth.	fear
<MASK> by jury is a right.	trial
above is a  <MASK> chandelier.	crystal
the airport does not have a control <MASK>.	tower
large yards may have a <MASK> to control operations.	tower
the airport does not have a control <MASK>.	tower
personal data <MASK> is a key responsibility.	protection
the members of the united secession have a place of <MASK>.	worship
other religions do not have a place of <MASK> in the town.	worship
other denominations do not have a place of <MASK> in the commune.	worship
is a pentecostal <MASK> centre.	worship
two out of four places of <MASK> have a minister.	worship
red <MASK> is a software corporation.	hat
the other is a fairly lame <MASK> at comedy.	attempt
mikado yellow is a <MASK> of yellow.	shade
his bill is a <MASK> of red.	shade
lava is a color that is a <MASK> of red.	shade
males have a brood <MASK> along the tail.	pouch
all have a gular <MASK> to catch fish.	pouch
early morning <MASK> is a persistent feature.	fog
jimmy is a great <MASK>.	guy
the <MASK> is capable of producing up to 60.	plant
one <MASK> may have a large number of stems.	plant
the <MASK> is a schizocarp.	fruit
the <MASK> is a capsule.	fruit
the <MASK> is a berry.	fruit
white wines have a high content of <MASK>.	alcohol
kural was found to have a blood <MASK> level of 1.	alcohol
perfluorotriethylcarbinol is a perfluorinated <MASK>.	alcohol
each <MASK> is a centimeter long.	flower
the <MASK> spikes have a length of .	flower
notation is not a new concept in indian <MASK>.	music
there is not a great deal of native italian christmas <MASK>.	music
all students have a <MASK> lesson every week.	music
vancouver continues to have a strong <MASK> scene.	music
the pygmies have a complex folk <MASK> tradition.	music
the song did not have a <MASK> video.	music
the single did not have a <MASK> video.	music
